,Title,Author,Editor,AutGen,EdGen,AutM,AutF,EdM,EdF,Type,Importance,Year,Publisher,Convener,Rank,Cluster,Level,Weighted,Senior,Female,single.female,single.male,Single,Top,Top.Press,two,three,female.comale,female.cofemale,Self,male.comale,male.cofemale,Male,book,article
8652,International / intertextual relations: postmodern readings of world politics,"Shapiro, Michael J.; Der Derian, James",,MM,,2,0,0,0,Book,Background,1989,Lexington Books,M,Associate,Theory,Masters,0,1,0,0,0,0,0,0,0,0,0,0,FALSE,1,0,1,1,0
8653,Revolutions in sovereignty: how ideas shaped modern international relations,"Philpott, Daniel",,M,,1,0,0,0,Book,Background,2001,Princeton University Press,M,Associate,Theory,Masters,0,1,0,0,1,1,0,1,0,0,0,0,FALSE,0,0,1,1,0
8654,International Organization,"Moravcsik, Andrew",,M,,1,0,0,0,Article,Background,1997,The MIT Press,M,Associate,Theory,Masters,0,1,0,0,1,1,1,1,0,0,0,0,FALSE,0,0,1,0,1
8655,"The Tragic Vision of Politics: Ethics, Interests and Orders","Lebow, Richard Ned",,M,,1,0,0,0,Book,Background,2003,Cambridge University Press,M,Associate,Theory,Masters,0,1,0,0,1,1,0,1,0,0,0,0,FALSE,0,0,1,1,0
8656,European Journal of International Relations,"Koskenniemi, Martti",,M,,1,0,0,0,Article,Background,2009,,M,Associate,Theory,Masters,0,1,0,0,1,1,1,0,0,0,0,0,FALSE,0,0,1,0,1
8657,The Economic History Review,"Gallagher, John; Robinson, Ronald",,MM,,2,0,0,0,Article,Background,1953,,M,Associate,Theory,Masters,0,1,0,0,0,0,0,0,0,0,0,0,FALSE,1,0,1,0,1
8658,The evolution of international security studies,"Buzan, Barry; Hansen, Lene",,MF,,1,1,0,0,Book,Background,2009,Cambridge University Press,M,Associate,Theory,Masters,0.5,1,1,0,0,0,0,1,1,0,1,0,FALSE,0,1,0,1,0
8659,From International to World Society?: English School Theory and the Social Structure of Globalisation,"Buzan, Barry",,M,,1,0,0,0,Book,Background,NA,,M,Associate,Theory,Masters,0,1,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,1,0
8660,The foundations of international polity,"Angell, Norman",,M,,1,0,0,0,Book,Essential,1914,Heinemann,M,Associate,Theory,Masters,0,1,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,1,0
8662,Philosophy & Public Affairs,"Doyle, Michael W.",,M,,1,0,0,0,Article,Background,1983,Wiley,M,Associate,Theory,Masters,0,1,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,0,1
8663,Sovereignty: organized hypocrisy,"Krasner, Stephen D.",,M,,1,0,0,0,Book,Background,1999,Princeton University Press,M,Associate,Theory,Masters,0,1,0,0,1,1,0,1,0,0,0,0,FALSE,0,0,1,1,0
8664,Democratic ideals and reality: a study in the politics of reconstruction,"Mackinder, Halford John",,M,,1,0,0,0,Book,Background,1919,"Constable and Company, ltd",M,Associate,Theory,Masters,0,1,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,1,0
8665,International Studies Review,"Ackerly, Brooke; True, Jacqui",,FF,,0,2,0,0,Article,Essential,2008,Wiley,M,Associate,Theory,Masters,1,1,1,0,0,0,0,0,0,0,0,1,FALSE,0,0,0,0,1
8666,The historic turn in the human sciences,"McDonald, Terrence J.",,M,,1,0,0,0,Book,Background,1996,University of Michigan Press,M,Associate,Theory,Masters,0,1,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,1,0
8667,Civilizing the enemy: German reconstruction and the invention of the West,"Jackson, Patrick Thaddeus",,M,,1,0,0,0,Book,Background,2006,University of Michigan Press,M,Associate,Theory,Masters,0,1,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,1,0
8668,"Antidiplomacy: spies, terror, speed, and war","Der Derian, James",,M,,1,0,0,0,Book,Background,1992,Blackwell Publishing,M,Associate,Theory,Masters,0,1,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,1,0
8669,"Foucault on politics, security and war","Dillon, Michael; Neal, Andrew W.",,MM,,2,0,0,0,Book,Background,2008,Palgrave Macmillan,M,Associate,Theory,Masters,0,1,0,0,0,0,0,1,0,0,0,0,FALSE,1,0,1,1,0
8670,Millennium - Journal of International Studies,"Hutchings, Kimberly",,F,,0,1,0,0,Article,Background,2008,,M,Associate,Theory,Masters,1,1,1,1,0,1,0,0,0,0,0,0,FALSE,0,0,0,0,1
8671,"Global Change, Peace & Security","Tickner, J. Ann",,F,,0,1,0,0,Article,Background,2011,,M,Associate,Theory,Masters,1,1,1,1,0,1,0,0,0,0,0,0,FALSE,0,0,0,0,1
8672,The concept of the political,"Schmitt, Carl",,M,,1,0,0,0,Book,Background,2007,University of Chicago Press,M,Associate,Theory,Masters,0,1,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,1,0
8673,War and change in world politics,"Gilpin, Robert",,M,,1,0,0,0,Book,Background,1981,Cambridge University Press,M,Associate,Theory,Masters,0,1,0,0,1,1,0,1,0,0,0,0,FALSE,0,0,1,1,0
8674,Security Dialogue,"Hoogensen, G.",,F,,0,1,0,0,Article,Background,2006,,M,Associate,Theory,Masters,1,1,1,1,0,1,0,0,0,0,0,0,FALSE,0,0,0,0,1
8675,Progress in international relations theory: appraising the field,"Elman, Colin; Elman, Miriam Fendius",,MF,,1,1,0,0,Book,Background,2003,The MIT Press,M,Associate,Theory,Masters,0.5,1,1,0,0,0,0,1,1,0,1,0,FALSE,0,1,0,1,0
8676,After hegemony: cooperation and discord in the world political economy,"Keohane, Robert O.",,M,,1,0,0,0,Book,Background,1984,Princeton University Press,M,Associate,Theory,Masters,0,1,0,0,1,1,0,1,0,0,0,0,FALSE,0,0,1,1,0
8678,Victorian visions of global order: empire and international relations in nineteenth-century political thought,"Bell, Duncan",,M,,1,0,0,0,Book,Background,2007,Cambridge University Press,M,Associate,Theory,Masters,0,1,0,0,1,1,0,1,0,0,0,0,FALSE,0,0,1,1,0
8679,The chemical weapons taboo,"Price, Richard M.",,M,,1,0,0,0,Book,Background,2007,Cornell University Press,M,Associate,Theory,Masters,0,1,0,0,1,1,0,1,0,0,0,0,FALSE,0,0,1,1,0
8680,European Journal of International Relations,"Buzan, Barry; Lawson, George",,MM,,2,0,0,0,Article,Background,2014,,M,Associate,Theory,Masters,0,1,0,0,0,0,1,0,0,0,0,0,FALSE,1,0,1,0,1
8681,"Beyond the Anarchical Society: Grotius, Colonialism and Order in World Politics","Keene, Edward",,M,,1,0,0,0,Book,Background,NA,,M,Associate,Theory,Masters,0,1,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,1,0
8682,Millennium - Journal of International Studies,"de Carvalho, Benjamin; Leira, Halvard; Hobson, John M.",,MMM,,3,0,0,0,Article,Essential,2011,,M,Associate,Theory,Masters,0,1,0,0,0,0,0,0,0,0,0,0,FALSE,1,0,1,0,1
8683,The use of force: military power and international politics,"Art, Robert J.; Jervis, Robert; Waltz, Kenneth N.","Art, Robert J.; Waltz, Kenneth N.",MMM,MM,3,0,2,0,Book,Background,NA,Rowman & Littlefield Publishers,M,Associate,Theory,Masters,0,1,0,0,0,0,0,0,0,0,0,0,FALSE,1,0,1,1,0
8684,Janus and Minerva: essays in the theory and practice of international politics,"Hoffmann, Stanley",,M,,1,0,0,0,Book,Background,1987,Westview Press,M,Associate,Theory,Masters,0,1,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,1,0
8685,"War, religion and empire: the transformation of international orders","Phillips, Andrew",,M,,1,0,0,0,Book,Background,2011,Cambridge University Press,M,Associate,Theory,Masters,0,1,0,0,1,1,0,1,0,0,0,0,FALSE,0,0,1,1,0
8686,The tragedy of great power politics,"Mearsheimer, John J.",,M,,1,0,0,0,Book,Background,2001,W.W. Norton,M,Associate,Theory,Masters,0,1,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,1,0
8687,After Defeat: How the East Learned to Live with the West,"Zarakol, Ayse",,F,,0,1,0,0,Book,Background,2011,Cambridge University Press,M,Associate,Theory,Masters,1,1,1,1,0,1,0,1,0,0,0,0,FALSE,0,0,0,1,0
8688,Worlds of Color,"Du Bois, W.E.B.",,M,,1,0,0,0,Article,Background,1925,,M,Associate,Theory,Masters,0,1,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,0,1
8689,International Studies Quarterly,"Biersteker, Thomas J.",,M,,1,0,0,0,Article,Background,1989,Wiley,M,Associate,Theory,Masters,0,1,0,0,1,1,1,0,0,0,0,0,FALSE,0,0,1,0,1
8690,Philosophy & Public Affairs,"Doyle, Michael W.",,M,,1,0,0,0,Article,Background,1983,Wiley,M,Associate,Theory,Masters,0,1,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,0,1
8691,"Patterns of empire: the British and American empires, 1688 to the present","Go, Julian",,M,,1,0,0,0,Book,Background,2011,Cambridge University Press,M,Associate,Theory,Masters,0,1,0,0,1,1,0,1,0,0,0,0,FALSE,0,0,1,1,0
8692,Millennium - Journal of International Studies,"Galtung, Johan",,M,,1,0,0,0,Article,Background,1980,,M,Associate,Theory,Masters,0,1,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,0,1
8693,International Security,"Taliaferro, Jeffrey W.",,M,,1,0,0,0,Article,Background,2001,,M,Associate,Theory,Masters,0,1,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,0,1
8694,The Role of Law in International Politics,"Byers, Michael",,M,,1,0,0,0,Book,Background,2001,Oxford University Press,M,Associate,Theory,Masters,0,1,0,0,1,1,0,1,0,0,0,0,FALSE,0,0,1,1,0
8695,Political Theory,"Wendt, Alexander; Duvall, Raymond",,MM,,2,0,0,0,Article,Background,2008,,M,Associate,Theory,Masters,0,1,0,0,0,0,0,0,0,0,0,0,FALSE,1,0,1,0,1
8696,Comparative Studies in Society and History,"Vitalis, Robert",,M,,1,0,0,0,Article,Essential,2010,,M,Associate,Theory,Masters,0,1,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,0,1
8697,A new world order,"Slaughter, Anne-Marie",,F,,0,1,0,0,Book,Background,2005,Princeton University Press,M,Associate,Theory,Masters,1,1,1,1,0,1,0,1,0,0,0,0,FALSE,0,0,0,1,0
8698,Debating the democratic peace,"Brown, Michael E.; Lynn-Jones, Sean M.; Miller, Steven E.",,MMM,,3,0,0,0,Book,Background,1996,The MIT Press,M,Associate,Theory,Masters,0,1,0,0,0,0,0,1,0,0,0,0,FALSE,1,0,1,1,0
8699,War and gender: how gender shapes the war and vice versa,"Goldstein, Joshua S.",,M,,1,0,0,0,Book,Background,2001,Cambridge University Press,M,Associate,Theory,Masters,0,1,0,0,1,1,0,1,0,0,0,0,FALSE,0,0,1,1,0
8700,The Great Illusion: A Study of the Relation of Military Power to National Advantage,"Angell, Norman",,M,,1,0,0,0,Book,Background,1910,G.P. Putnam and Sons,M,Associate,Theory,Masters,0,1,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,1,0
8701,The African Roots of War,"Du Bois, W.E.B",,M,,1,0,0,0,Article,Essential,1915,,M,Associate,Theory,Masters,0,1,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,0,1
8702,Millennium - Journal of International Studies,"Vaughan-Williams, N.",,M,,1,0,0,0,Article,Background,2005,,M,Associate,Theory,Masters,0,1,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,0,1
8703,The National Interest,"Mearsheimer, John J.",,M,,1,0,0,0,Article,Essential,2011,"National Interest, Inc.",M,Associate,Theory,Masters,0,1,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,0,1
8704,Social theory of international politics,"Wendt, Alexander",,M,,1,0,0,0,Book,Background,1999,Cambridge University Press,M,Associate,Theory,Masters,0,1,0,0,1,1,0,1,0,0,0,0,FALSE,0,0,1,1,0
8705,Explanation and Progress in Security Studies: Bridging Theoretical Divides in International Relations - Fred Chernoff,"Chernoff, Fred",,M,,1,0,0,0,Book,Background,2014,Stanford University Press,M,Associate,Theory,Masters,0,1,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,1,0
8706,Criticism and the growth of knowledge,"Lakatos, Imre; Musgrave, Alan",,M,,1,0,0,0,Book,Background,1970,Cambridge University Press,M,Associate,Theory,Masters,0,1,0,0,1,1,0,1,0,0,0,0,FALSE,0,0,1,1,0
8707,The British Journal of Politics and International Relations,"Squires, Judith; Weldes, Jutta",,FF,,0,2,0,0,Article,Essential,2007,,M,Associate,Theory,Masters,1,1,1,0,0,0,0,0,0,0,0,1,FALSE,0,0,0,0,1
8708,The English School of International Relations: A Contemporary Reassessment,"Linklater, Andrew; Suganami, Hidemi",,MM,,2,0,0,0,Book,Background,2006,Cambridge University Press,M,Associate,Theory,Masters,0,1,0,0,0,0,0,1,0,0,0,0,FALSE,1,0,1,1,0
8709,European Journal of International Relations,"Wendt, Alexander",,M,,1,0,0,0,Article,Background,2003,,M,Associate,Theory,Masters,0,1,0,0,1,1,1,0,0,0,0,0,FALSE,0,0,1,0,1
8711,The Global Covenant,"Jackson, Robert H.",,M,,1,0,0,0,Book,Background,2000,Oxford University Press,M,Associate,Theory,Masters,0,1,0,0,1,1,0,1,0,0,0,0,FALSE,0,0,1,1,0
8712,The Oxford handbook of contextual political analysis,"Goodin, Robert E.; Tilly, Charles",,MM,,2,0,0,0,Book,Background,2006,Oxford University Press,M,Associate,Theory,Masters,0,1,0,0,0,0,0,1,0,0,0,0,FALSE,1,0,1,1,0
8713,Sovereignty at the millennium,"Jackson, Robert H.",,M,,1,0,0,0,Book,Background,1999,Blackwell Publishing,M,Associate,Theory,Masters,0,1,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,1,0
8715,"International relations and non-western thought: imperialism, colonialism and investigations of global modernity","Shilliam, Robbie","Shilliam, Robbie",M,M,1,0,1,0,Book,Background,2011,Routledge,M,Associate,Theory,Masters,0,1,0,0,1,1,0,1,0,0,0,0,FALSE,0,0,1,1,0
8716,Millennium - Journal of International Studies,"Hobson, John M.; Lawson, George",,MM,,2,0,0,0,Article,Background,2008,,M,Associate,Theory,Masters,0,1,0,0,0,0,0,0,0,0,0,0,FALSE,1,0,1,0,1
8717,Poststructuralism & international relations: bringing the political back in,"Edkins, Jenny",,F,,0,1,0,0,Book,Background,1999,Lynne Rienner Publishers,M,Associate,Theory,Masters,1,1,1,1,0,1,0,0,0,0,0,0,FALSE,0,0,0,1,0
8718,The tragedy of great power politics,"Mearsheimer, John J.",,M,,1,0,0,0,Book,Background,2001,W.W. Norton,M,Associate,Theory,Masters,0,1,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,1,0
8719,Journal of Political Power,"Nye, Joseph S.",,M,,1,0,0,0,Article,Background,2011,,M,Associate,Theory,Masters,0,1,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,0,1
8720,Imperial encounters: the politics of representation in North-South relations,"Doty, Roxanne Lynn",,F,,0,1,0,0,Book,Background,1996,University of Minnesota Press,M,Associate,Theory,Masters,1,1,1,1,0,1,0,0,0,0,0,0,FALSE,0,0,0,1,0
8721,Millennium - Journal of International Studies,"Neumann, Iver B.; Sending, Ole J.",,MM,,2,0,0,0,Article,Background,2007,,M,Associate,Theory,Masters,0,1,0,0,0,0,0,0,0,0,0,0,FALSE,1,0,1,0,1
8722,International Studies Quarterly,"Jackson, Patrick Thaddeus; Nexon, Daniel H.",,MM,,2,0,0,0,Article,Background,2009,,M,Associate,Theory,Masters,0,1,0,0,0,0,1,0,0,0,0,0,FALSE,1,0,1,0,1
8723,"The struggle for power in early modern Europe: religious conflict, dynastic empires, and international change","Nexon, Daniel H.",,M,,1,0,0,0,Book,Background,2009,Princeton University Press,M,Associate,Theory,Masters,0,1,0,0,1,1,0,1,0,0,0,0,FALSE,0,0,1,1,0
8725,"Sovereigns, quasi sovereigns, and Africans: race and self-determination in international law","Grovogui, Siba N'Zatioula",,M,,1,0,0,0,Book,Background,1996,University of Minnesota Press,M,Associate,Theory,Masters,0,1,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,1,0
8726,International Organization,"Wendt, Alexander",,M,,1,0,0,0,Article,Background,1987,,M,Associate,Theory,Masters,0,1,0,0,1,1,1,0,0,0,0,0,FALSE,0,0,1,0,1
8727,"The birth of the modern world, 1780-1914: global connections and comparisons","Bayly, C. A.",,M,,1,0,0,0,Book,Background,2004,Blackwell Publishing,M,Associate,Theory,Masters,0,1,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,1,0
8728,International relations and the problem of difference,"Inayatullah, Naeem; Blaney, David L.",,MM,,2,0,0,0,Book,Background,2003,Routledge,M,Associate,Theory,Masters,0,1,0,0,0,0,0,1,0,0,0,0,FALSE,1,0,1,1,0
8729,"The invention of international relations theory: realism, the Rockefeller Foundation, and the 1954 Conference on Theory","Guilhot, Nicolas",,M,,1,0,0,0,Book,Background,2011,Columbia University Press,M,Associate,Theory,Masters,0,1,0,0,1,1,0,1,0,0,0,0,FALSE,0,0,1,1,0
8730,Review of International Studies,"Edinks, Jenny; Zehfuss, Maja",,FF,,0,2,0,0,Article,Background,2005,,M,Associate,Theory,Masters,1,1,1,0,0,0,0,0,0,0,0,1,FALSE,0,0,0,0,1
8731,War and Change in World Politics,"Gilpin, Robert",,M,,1,0,0,0,Book,Essential,1981,Cambridge University Press,M,Associate,Theory,Masters,0,1,0,0,1,1,0,1,0,0,0,0,FALSE,0,0,1,1,0
8732,Millennium - Journal of International Studies,"Edkins, J.; Pin-Fat, V.",,FF,,0,2,0,0,Article,Background,2005,,M,Associate,Theory,Masters,1,1,1,0,0,0,0,0,0,0,0,1,FALSE,0,0,0,0,1
8733,The standard of &quot;civilization&quot; in international society,"Gong, Gerrit W.",,M,,1,0,0,0,Book,Background,1984,Oxford University Press,M,Associate,Theory,Masters,0,1,0,0,1,1,0,1,0,0,0,0,FALSE,0,0,1,1,0
8734,"Agents, structures and international relations: politics as ontology","Wight, Colin",,M,,1,0,0,0,Book,Background,2006,Cambridge University Press,M,Associate,Theory,Masters,0,1,0,0,1,1,0,1,0,0,0,0,FALSE,0,0,1,1,0
8735,Millennium - Journal of International Studies,"Keeley, J. F.",,M,,1,0,0,0,Article,Background,2007,,M,Associate,Theory,Masters,0,1,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,0,1
8736,Political Studies,"Lawson, Stephanie",,F,,0,1,0,0,Article,Essential,2008,,M,Associate,Theory,Masters,1,1,1,1,0,1,0,0,0,0,0,0,FALSE,0,0,0,0,1
8737,Perception and misperception in international politics,"Jervis, Robert",,M,,1,0,0,0,Book,Essential,1976,Princeton University Press,M,Associate,Theory,Masters,0,1,0,0,1,1,0,1,0,0,0,0,FALSE,0,0,1,1,0
8738,Review of International Studies,"Brigg, Morgan; Bleiker, Roland",,MM,,2,0,0,0,Article,Background,2010,,M,Associate,Theory,Masters,0,1,0,0,0,0,0,0,0,0,0,0,FALSE,1,0,1,0,1
8739,"The Oxford Handbook of International Relations
							‘_
						
					Less... Morescholarshippolicy makingcognate disciplinesinteractionempirical enquirynormative inquiry","Moravcsik, Andrew","Reus-Smit, Christian; Snidal, Duncan",M,MM,1,0,2,0,Book,Essential,2008,Oxford University Press,M,Associate,Theory,Masters,0,1,0,0,1,1,0,1,0,0,0,0,FALSE,0,0,1,1,0
8740,Human rights and international relations,"Vincent, R.J.",,M,,1,0,0,0,Book,Background,1987,Cambridge University Press,M,Associate,Theory,Masters,0,1,0,0,1,1,0,1,0,0,0,0,FALSE,0,0,1,1,0
8741,European Journal of International Relations,"Kratochwil, Friedrich V.",,M,,1,0,0,0,Article,Background,2006,,M,Associate,Theory,Masters,0,1,0,0,1,1,1,0,0,0,0,0,FALSE,0,0,1,0,1
8742,Journal of Peace Research,"Galtung, Johan",,M,,1,0,0,0,Article,Background,1971,,M,Associate,Theory,Masters,0,1,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,0,1
8743,Hegemony in international society,"Clark, Ian",,M,,1,0,0,0,Book,Background,2011,Oxford University Press,M,Associate,Theory,Masters,0,1,0,0,1,1,0,1,0,0,0,0,FALSE,0,0,1,1,0
8744,"Manly states: masculinities, international relations, and gender politics","Hooper, Charlotte",,F,,0,1,0,0,Book,Background,2001,Columbia University Press,M,Associate,Theory,Masters,1,1,1,1,0,1,0,1,0,0,0,0,FALSE,0,0,0,1,0
8745,International Studies Quarterly,"Alker, Hayward R.; Biersteker, Thomas J.",,MM,,2,0,0,0,Article,Background,1984,Wiley,M,Associate,Theory,Masters,0,1,0,0,0,0,1,0,0,0,0,0,FALSE,1,0,1,0,1
8746,Review of International Studies,"Hobson, John M.",,M,,1,0,0,0,Article,Essential,2007,,M,Associate,Theory,Masters,0,1,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,0,1
8748,Unanswered threats: political constraints on the balance of power,"Schweller, Randall L.",,M,,1,0,0,0,Book,Background,2006,Princeton University Press,M,Associate,Theory,Masters,0,1,0,0,1,1,0,1,0,0,0,0,FALSE,0,0,1,1,0
8749,European Journal of International Relations,"Rosenberg, Justin",,M,,1,0,0,0,Article,Essential,2006,Sage Publications Ltd.,M,Associate,Theory,Masters,0,1,0,0,1,1,1,0,0,0,0,0,FALSE,0,0,1,0,1
8750,International Security,"Mansfield, Edward D.; Snyder, Jack",,MM,,2,0,0,0,Article,Background,NA,The MIT Press,M,Associate,Theory,Masters,0,1,0,0,0,0,0,1,0,0,0,0,FALSE,1,0,1,0,1
8751,International Studies Review,"Barkin, J.Samuel",,M,,1,0,0,0,Article,Background,2003,,M,Associate,Theory,Masters,0,1,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,0,1
8752,Empires in world history: power and the politics of difference,"Burbank, Jane; Cooper, Frederick",,FM,,1,1,0,0,Book,Background,2010,Princeton University Press,M,Associate,Theory,Masters,0.5,1,1,0,0,0,0,1,1,0,1,0,FALSE,0,1,0,1,0
8753,Sociological Methods & Research,"Abbott, A.",,M,,1,0,0,0,Article,Background,1992,,M,Associate,Theory,Masters,0,1,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,0,1
8754,Moral man and immoral society: a study in ethics and politics,"Niebuhr, Reinhold",,M,,1,0,0,0,Book,Background,1952,C. Scribner's Sons,M,Associate,Theory,Masters,0,1,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,1,0
8755,The purpose of intervention: changing beliefs about the use of force,"Finnemore, Martha",,F,,0,1,0,0,Book,Background,2004,Cornell University Press,M,Associate,Theory,Masters,1,1,1,1,0,1,0,1,0,0,0,0,FALSE,0,0,0,1,0
8756,The Politics of International Law,"Reus-Smit, Christian","Reus-Smit, Christian",M,M,1,0,1,0,Book,Background,2004,,M,Associate,Theory,Masters,0,1,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,1,0
8757,Cambridge Review of International Affairs,"Rosenberg, Justin",,M,,1,0,0,0,Article,Background,2010,,M,Associate,Theory,Masters,0,1,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,0,1
8758,"Rules, norms and decisions: on the conditions of practical and legal reasoning in international relations and domestic affairs","Kratochwil, Friedrich V.",,M,,1,0,0,0,Book,Background,1989,Cambridge University Press,M,Associate,Theory,Masters,0,1,0,0,1,1,0,1,0,0,0,0,FALSE,0,0,1,1,0
8759,International Affairs,"Youngs, Gillian",,F,,0,1,0,0,Article,Background,2004,,M,Associate,Theory,Masters,1,1,1,1,0,1,0,0,0,0,0,0,FALSE,0,0,0,0,1
8760,"Alternatives: Global, Local, Political","Onuf, Nicholas Greenwood",,M,,1,0,0,0,Article,Background,1991,,M,Associate,Theory,Masters,0,1,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,0,1
8761,"After Tamerlane: The Rise and Fall of Global Empires, 1400-2000","Darwin, John",,M,,1,0,0,0,Book,Background,2007,Penguin,M,Associate,Theory,Masters,0,1,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,1,0
8762,"Men, militarism, and UN peacekeeping: a gendered analysis","Whitworth, Sandra",,F,,0,1,0,0,Book,Background,2007,Lynne Rienner Publishers,M,Associate,Theory,Masters,1,1,1,1,0,1,0,0,0,0,0,0,FALSE,0,0,0,1,0
8763,Millennium - Journal of International Studies,"Buzan, Barry; Little, Richard",,MM,,2,0,0,0,Article,Background,2001,,M,Associate,Theory,Masters,0,1,0,0,0,0,0,0,0,0,0,0,FALSE,1,0,1,0,1
8764,"The long twentieth century: money, power, and the origins of our times","Arrighi, Giovanni",,M,,1,0,0,0,Book,Background,2010,Verso,M,Associate,Theory,Masters,0,1,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,1,0
8765,Thinking about peace and war,"Ceadel, Martin",,M,,1,0,0,0,Book,Background,1987,Oxford University Press,M,Associate,Theory,Masters,0,1,0,0,1,1,0,1,0,0,0,0,FALSE,0,0,1,1,0
8766,What is history?,"Carr, Edward Hallett","Evans, Richard J.",M,M,1,0,1,0,Book,Background,2001,Palgrave Macmillan,M,Associate,Theory,Masters,0,1,0,0,1,1,0,1,0,0,0,0,FALSE,0,0,1,1,0
8767,"Politics in time: history, institutions, and social analysis","Pierson, Paul",,M,,1,0,0,0,Book,Background,2004,Princeton University Press,M,Associate,Theory,Masters,0,1,0,0,1,1,0,1,0,0,0,0,FALSE,0,0,1,1,0
8768,International Security,"Waltz, Kenneth N.",,M,,1,0,0,0,Article,Background,1993,The MIT Press,M,Associate,Theory,Masters,0,1,0,0,1,1,0,1,0,0,0,0,FALSE,0,0,1,0,1
8769,"White world order, black power politics: the birth of American international relations","Vitalis, Robert",,M,,1,0,0,0,Book,Background,2015,Cornell University Press,M,Associate,Theory,Masters,0,1,0,0,1,1,0,1,0,0,0,0,FALSE,0,0,1,1,0
8770,European Journal of International Relations,"Joseph, J.",,M,,1,0,0,0,Article,Background,2010,,M,Associate,Theory,Masters,0,1,0,0,1,1,1,0,0,0,0,0,FALSE,0,0,1,0,1
8771,Grasping the democratic peace: principles for a post-Cold War world,"Russett, Bruce M.",,M,,1,0,0,0,Book,Background,1993,Princeton University Press,M,Associate,Theory,Masters,0,1,0,0,1,1,0,1,0,0,0,0,FALSE,0,0,1,1,0
8772,European Journal of International Relations,"Muller, H.",,M,,1,0,0,0,Article,Background,2004,,M,Associate,Theory,Masters,0,1,0,0,1,1,1,0,0,0,0,0,FALSE,0,0,1,0,1
8773,Review of International Studies,"Mann, Michael",,M,,1,0,0,0,Article,Background,2004,,M,Associate,Theory,Masters,0,1,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,0,1
8774,International Organization,"Williams, Michael C.",,M,,1,0,0,0,Article,Background,2004,,M,Associate,Theory,Masters,0,1,0,0,1,1,1,0,0,0,0,0,FALSE,0,0,1,0,1
8775,Attacking terrorism: elements of a grand strategy,"Rapoport, David C.","Cronin, Audrey Kurth; Ludes, James M.",M,FM,1,0,1,1,Book,Background,2004,Georgetown University Press,M,Associate,Theory,Masters,0,1,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,1,0
8776,Politics & Gender,"Maliniak, Daniel; Oakes, Amy; Peterson, Susan; Tierney, Michael J.; Tetreault, Mary Ann; Ackerly, Brooke; True, Jacqui; Sjoberg, Laura",,MFFMFFFF,,2,6,0,0,Article,Background,2008,,M,Associate,Theory,Masters,0.75,1,1,0,0,0,0,0,0,0,1,0,FALSE,0,1,0,0,1
8777,Past and Present,"Stone, Lawrence",,M,,1,0,0,0,Article,Background,1979,Oxford University Press,M,Associate,Theory,Masters,0,1,0,0,1,1,0,1,0,0,0,0,FALSE,0,0,1,0,1
8778,Forbidden fruit: counterfactuals and international relations,"Lebow, Richard Ned",,M,,1,0,0,0,Book,Background,2010,Princeton University Press,M,Associate,Theory,Masters,0,1,0,0,1,1,0,1,0,0,0,0,FALSE,0,0,1,1,0
